Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","CP_EIA-7343-31_Kemet-D_HandSolder",195.462893,-120.579607,-90.000000,top
"C2","22uF","CP_EIA-7343-31_Kemet-D_HandSolder",201.702893,-120.599607,-90.000000,top
"C3","0.1uF","C_0805_2012Metric",207.042893,-142.957107,0.000000,top
"C4","0.1uF","C_0805_2012Metric",247.132893,-109.437107,180.000000,top
"C5","22uF","C_0805_2012Metric",209.442893,-107.877107,90.000000,top
"C6","0.1uF","C_0805_2012Metric",212.922893,-107.877107,90.000000,top
"C7","1uF","C_0805_2012Metric",212.922893,-111.797107,-90.000000,top
"H1","MountingHole","MountingHole_3.2mm_M3",183.412893,-142.947107,0.000000,top
"H2","MountingHole","MountingHole_3.2mm_M3",256.362893,-142.917107,0.000000,top
"H3","MountingHole","MountingHole_3.2mm_M3",256.392893,-107.807107,0.000000,top
"H4","MountingHole","MountingHole_3.2mm_M3",183.402893,-107.787107,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",184.072893,-124.407107,-90.000000,top
"J2","Screw_Terminal_01x02","PinHeader_1x02_P2.54mm_Vertical",258.112893,-130.197107,0.000000,top
"NT1","NetTie_2","NetTie-2_SMD_Pad0.5mm",238.802893,-114.447107,180.000000,top
"Q1","BC817","SOT-23",225.465393,-134.437107,0.000000,top
"Q2","BC817","SOT-23",210.257893,-119.577107,90.000000,top
"R1","62k","R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal",252.232893,-138.057107,90.000000,top
"R2","10k","R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal",246.212893,-122.817107,-90.000000,top
"R3","30","R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal",240.132893,-138.057107,90.000000,top
"R4","5.1k","R_0805_2012Metric",182.122893,-116.837107,0.000000,top
"R5","5.1k","R_0805_2012Metric",182.122893,-132.037107,0.000000,top
"R6","10k","R_0805_2012Metric",221.975393,-134.417107,90.000000,top
"R7","10k","R_0805_2012Metric",210.242893,-123.227107,180.000000,top
"R8","4.7k","R_0805_2012Metric",237.362893,-111.967107,0.000000,top
"R9","4.7k","R_0805_2012Metric",237.362893,-108.157107,0.000000,top
"R10","10k","R_0805_2012Metric",205.892893,-107.897107,90.000000,top
"R11","10k","R_0805_2012Metric",230.452893,-127.097107,180.000000,top
"R12","10k","R_0805_2012Metric",225.632893,-127.097107,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32E",225.122893,-110.877107,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",198.582893,-111.832107,0.000000,top
"U3","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",210.547893,-136.192107,90.000000,top
"U5","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",246.202893,-114.457107,90.000000,top
